State,County,Community Name (Number), Policies in Force , Total Coverage , Total Written Premium + FPF , Total Annual Payment 
MINNESOTA,GRANT COUNTY,GRANT COUNTY * (270549), 1 ," $250,000 "," $1,769 "," $2,104 "
MINNESOTA,HENNEPIN COUNTY,"BLOOMINGTON, CITY OF (275230)", 53 ," $13,024,000 "," $34,666 "," $43,130 "
MINNESOTA,HENNEPIN COUNTY,"BROOKLYN CENTER, CITY OF (270151)", 34 ," $10,538,000 "," $57,572 "," $70,972 "
MINNESOTA,HENNEPIN COUNTY,"BROOKLYN PARK, CITY OF (270152)", 27 ," $7,657,000 "," $31,438 "," $39,345 "
MINNESOTA,HENNEPIN COUNTY,"CHAMPLIN, CITY OF (270153)", 25 ," $7,133,000 "," $37,186 "," $45,418 "
MINNESOTA,HENNEPIN COUNTY,"CORCORAN, CITY OF (270155)", 11 ," $3,140,000 "," $6,579 "," $8,395 "
MINNESOTA,HENNEPIN COUNTY,"CRYSTAL, CITY OF (270156)", 19 ," $4,842,000 "," $19,050 "," $23,019 "
MINNESOTA,HENNEPIN COUNTY,"DAYTON, CITY OF (270157)", 14 ," $4,052,000 "," $17,276 "," $20,843 "
MINNESOTA,HENNEPIN COUNTY,"DEEPHAVEN, CITY OF (270158)", 4 ," $1,300,000 "," $2,461 "," $3,195 "
MINNESOTA,HENNEPIN COUNTY,"EDEN PRAIRIE, CITY OF (270159)", 51 ," $17,060,000 "," $44,284 "," $55,795 "
MINNESOTA,HENNEPIN COUNTY,"EDINA, CITY OF (270160)", 128 ," $41,720,000 "," $101,401 "," $123,343 "
MINNESOTA,HENNEPIN COUNTY,"EXCELSIOR, CITY OF (270161)", 6 ," $2,150,000 "," $4,576 "," $5,949 "
MINNESOTA,HENNEPIN COUNTY,"GOLDEN VALLEY, CITY OF (270162)", 53 ," $18,390,000 "," $47,209 "," $57,931 "
MINNESOTA,HENNEPIN COUNTY,"GREENFIELD, CITY OF (270673)", 5 ," $1,375,000 "," $2,866 "," $3,690 "
MINNESOTA,HENNEPIN COUNTY,"GREENWOOD, CITY OF (270164)", 8 ," $2,600,000 "," $4,532 "," $6,381 "
MINNESOTA,HENNEPIN COUNTY,"HOPKINS, CITY OF (270166)", 12 ," $6,246,000 "," $13,922 "," $17,977 "
MINNESOTA,HENNEPIN COUNTY,"INDEPENDENCE, CITY OF (270167)", 7 ," $2,038,000 "," $4,114 "," $5,196 "
MINNESOTA,HENNEPIN COUNTY,"LONG LAKE, CITY OF (270168)", 1 ," $350,000 ", $513 , $622 
MINNESOTA,HENNEPIN COUNTY,"MAPLE GROVE, CITY OF (270169)", 45 ," $12,803,000 "," $27,203 "," $33,294 "
MINNESOTA,HENNEPIN COUNTY,"MEDICINE LAKE, CITY OF (270690)", 3 ," $933,000 "," $1,776 "," $2,145 "
MINNESOTA,HENNEPIN COUNTY,"MEDINA, CITY OF (270171)", 15 ," $5,718,000 "," $10,115 "," $13,308 "
MINNESOTA,HENNEPIN COUNTY,"MINNEAPOLIS, CITY OF (270172)", 172 ," $54,904,000 "," $128,323 "," $159,663 "
MINNESOTA,HENNEPIN COUNTY,"MINNETONKA, CITY OF (270173)", 61 ," $20,111,000 "," $42,935 "," $55,274 "
MINNESOTA,HENNEPIN COUNTY,"MINNETRISTA, CITY OF (270175)", 21 ," $6,786,000 "," $15,256 "," $19,474 "
MINNESOTA,HENNEPIN COUNTY,"MOUND, CITY OF (270176)", 13 ," $4,070,000 "," $8,330 "," $10,269 "
MINNESOTA,HENNEPIN COUNTY,"NEW HOPE, CITY OF (270177)", 5 ," $2,227,000 "," $6,798 "," $8,554 "
MINNESOTA,HENNEPIN COUNTY,"ORONO, CITY OF (270178)", 28 ," $9,425,000 "," $17,783 "," $22,122 "
MINNESOTA,HENNEPIN COUNTY,"PLYMOUTH, CITY OF (270179)", 80 ," $21,077,000 "," $45,902 "," $57,564 "
MINNESOTA,HENNEPIN COUNTY,"RICHFIELD, CITY OF (270180)", 10 ," $2,464,000 "," $6,148 "," $7,419 "
MINNESOTA,HENNEPIN COUNTY,"ROBBINSDALE, CITY OF (270181)", 12 ," $3,173,000 "," $10,098 "," $12,787 "
MINNESOTA,HENNEPIN COUNTY,"ROGERS, CITY OF (270775)", 10 ," $2,768,000 "," $9,804 "," $11,958 "
MINNESOTA,HENNEPIN COUNTY,"SHOREWOOD, CITY OF (270185)", 10 ," $2,960,000 "," $6,017 "," $7,941 "
MINNESOTA,HENNEPIN COUNTY,"SPRING PARK, CITY OF (270186)", 1 ," $213,000 ", $447 , $544 
MINNESOTA,HENNEPIN COUNTY,"ST. ANTHONY, CITY OF (270716)", 3 ," $732,000 ", $999 ," $1,228 "
MINNESOTA,HENNEPIN COUNTY,"ST. BONIFACIUS, CITY OF (270183)", 1 ," $350,000 ", $630 , $760 
MINNESOTA,HENNEPIN COUNTY,"ST. LOUIS PARK, CITY OF (270184)", 85 ," $29,691,000 "," $48,151 "," $63,628 "
MINNESOTA,HENNEPIN COUNTY,"TONKA BAY, CITY OF (270187)", 10 ," $2,902,000 "," $5,929 "," $7,835 "
MINNESOTA,HENNEPIN COUNTY,"VILLAGE OF MINNETONKA BEACH, CITY OF THE (270174)", 5 ," $1,480,000 "," $2,450 "," $2,974 "
MINNESOTA,HENNEPIN COUNTY,"WAYZATA, CITY OF (270188)", 13 ," $4,223,000 "," $9,383 "," $12,187 "
MINNESOTA,HENNEPIN COUNTY,"WOODLAND, CITY OF (270189)", 2 ," $389,000 ", $974 ," $1,407 "
MINNESOTA,HOUSTON COUNTY,"BROWNSVILLE, CITY OF (270191)", 1 ," $350,000 ", $664 , $800 
MINNESOTA,HOUSTON COUNTY,"HOKAH, CITY OF (270192)", 2 ," $287,000 "," $2,290 "," $2,960 "
MINNESOTA,HOUSTON COUNTY,"HOUSTON, CITY OF (270193)", 6 ," $2,668,000 "," $6,355 "," $8,273 "
MINNESOTA,HOUSTON COUNTY,HOUSTON COUNTY * (270190), 13 ," $2,466,000 "," $18,880 "," $23,844 "
MINNESOTA,HOUSTON COUNTY,"LA CRESCENT, CITY OF (275237)", 32 ," $8,717,000 "," $28,329 "," $35,984 "
MINNESOTA,HUBBARD COUNTY,HUBBARD COUNTY * (270195), 4 ," $1,380,000 "," $2,903 "," $4,166 "
MINNESOTA,ISANTI COUNTY,"CAMBRIDGE, CITY OF (270198)", 2 ," $441,000 "," $1,212 "," $1,464 "
MINNESOTA,ISANTI COUNTY,"ISANTI, CITY OF (270199)", 6 ," $2,326,000 "," $7,341 "," $8,986 "
MINNESOTA,ISANTI COUNTY,ISANTI COUNTY * (270197), 58 ," $15,641,000 "," $62,889 "," $78,547 "
MINNESOTA,ITASCA COUNTY,"BIGFORK, CITY OF (270201)", 1 ," $58,000 ", $844 ," $1,012 "
MINNESOTA,ITASCA COUNTY,"COHASSET, CITY OF (270202)", 2 ," $390,000 "," $1,165 "," $1,632 "
MINNESOTA,ITASCA COUNTY,"GRAND RAPIDS, CITY OF (270204)", 1 ," $350,000 ", $733 , $881 
MINNESOTA,ITASCA COUNTY,ITASCA COUNTY * (270200), 26 ," $5,471,000 "," $22,262 "," $28,949 "
MINNESOTA,JACKSON COUNTY,"JACKSON,CITY OF (270213)", 13 ," $1,629,000 "," $17,232 "," $22,348 "
MINNESOTA,JACKSON COUNTY,JACKSON COUNTY * (270632), 3 ," $802,000 "," $6,818 "," $8,319 "
MINNESOTA,KANABEC COUNTY,"GRASSTON, CITY OF (270215)", 2 ," $238,000 "," $3,137 "," $3,735 "
MINNESOTA,KANABEC COUNTY,KANABEC COUNTY * (270214), 10 ," $1,946,000 "," $11,856 "," $14,830 "
MINNESOTA,KANABEC COUNTY,"MORA, CITY OF (270216)", 2 ," $191,000 "," $1,067 "," $1,292 "
MINNESOTA,KANDIYOHI COUNTY,KANDIYOHI COUNTY* (270629), 18 ," $4,742,000 "," $15,278 "," $20,353 "
MINNESOTA,KANDIYOHI COUNTY,"LAKE LILLIAN, CITY OF (270219)", 1 ," $75,000 ", $801 , $962 
MINNESOTA,KANDIYOHI COUNTY,"WILLMAR, CITY OF (270703)", 3 ," $1,178,000 "," $3,538 "," $4,449 "
MINNESOTA,KITTSON COUNTY,"HALLOCK, CITY OF (270226)", 7 ," $1,571,000 "," $9,427 "," $11,916 "
MINNESOTA,KITTSON COUNTY,"KENNEDY, CITY OF (270686)", 1 ," $19,000 ", $418 , $510 
MINNESOTA,KITTSON COUNTY,KITTSON COUNTY * (270224), 10 ," $1,335,000 "," $7,700 "," $9,701 "
MINNESOTA,KITTSON COUNTY,"ST. VINCENT, CITY OF (270232)", 4 ," $499,000 "," $2,015 "," $2,443 "
MINNESOTA,KOOCHICHING COUNTY,KOOCHICHING COUNTY * (270233), 26 ," $4,691,000 "," $22,167 "," $28,612 "
MINNESOTA,KOOCHICHING COUNTY,"LITTLEFORK, CITY OF (270237)", 1 ," $82,000 "," $1,627 "," $1,936 "
MINNESOTA,KOOCHICHING COUNTY,"RANIER, CITY OF (270238)", 3 ," $580,000 "," $1,780 "," $2,375 "
MINNESOTA,LAC QUI PARLE COUNTY,"BOYD, CITY OF (270240)", 1 ," $68,000 ", $518 , $628 
MINNESOTA,LAC QUI PARLE COUNTY,"DAWSON, CITY OF (270241)", 3 ," $479,000 "," $3,049 "," $3,648 "
MINNESOTA,LAC QUI PARLE COUNTY,LAC QUI PARLE COUNTY * (270239), 1 ," $39,000 ", $392 , $704 
MINNESOTA,LAKE COUNTY,"BEAVER BAY, CITY OF (270244)", 1 ," $500,000 "," $1,280 "," $1,752 "
MINNESOTA,LAKE COUNTY,LAKE COUNTY * (270630), 8 ," $3,003,000 "," $8,283 "," $11,256 "
MINNESOTA,LAKE OF THE WOODS COUNTY,LAKE OF THE WOODS COUNTY * (270654), 71 ," $9,584,000 "," $65,066 "," $90,777 "
MINNESOTA,LE SUEUR COUNTY,"ELYSIAN, CITY OF (270760)", 2 ," $600,000 "," $1,834 "," $2,197 "
MINNESOTA,LE SUEUR COUNTY,"LE SUEUR, CITY OF (270248)", 6 ," $3,735,000 "," $10,218 "," $12,831 "
MINNESOTA,LE SUEUR COUNTY,LE SUEUR COUNTY * (270246), 33 ," $8,171,000 "," $27,740 "," $37,329 "
MINNESOTA,LE SUEUR COUNTY,"NEW PRAGUE, CITY OF (270249)", 1 ," $350,000 ", $860 ," $1,031 "
MINNESOTA,LE SUEUR COUNTY,"WATERVILLE, CITY OF (270251)", 29 ," $6,280,000 "," $34,310 "," $43,218 "
MINNESOTA,LINCOLN COUNTY,LINCOLN COUNTY * (270653), 3 ," $927,000 "," $2,631 "," $3,380 "
MINNESOTA,LYON COUNTY,"BALATON, CITY OF (270553)", 1 ," $350,000 "," $1,221 "," $1,457 "
MINNESOTA,LYON COUNTY,"COTTONWOOD, CITY OF (270765)", 1 ," $350,000 ", $736 , $885 
MINNESOTA,LYON COUNTY,"GHENT, CITY OF (270257)", 6 ," $1,325,000 "," $5,510 "," $7,276 "
MINNESOTA,LYON COUNTY,"LYND, CITY OF (270584)", 2 ," $260,000 "," $2,845 "," $3,615 "
MINNESOTA,LYON COUNTY,LYON COUNTY * (270256), 7 ," $1,996,000 "," $7,202 "," $8,838 "
MINNESOTA,LYON COUNTY,"MARSHALL, CITY OF (270258)", 14 ," $3,633,000 "," $13,427 "," $16,753 "
MINNESOTA,LYON COUNTY,"RUSSELL, CITY OF (270600)", 1 ," $105,000 ", $510 , $618 
MINNESOTA,LYON COUNTY,"TRACY, CITY OF (270766)", 2 ," $202,000 ", $943 ," $1,146 "
MINNESOTA,MAHNOMEN COUNTY,"MAHNOMEN, CITY OF (270266)", 2 ," $402,000 "," $1,079 "," $1,531 "
MINNESOTA,MAHNOMEN COUNTY,MAHNOMEN COUNTY * (270671), 2 ," $700,000 "," $1,228 "," $1,707 "
MINNESOTA,MAHNOMEN COUNTY,"WAUBUN, CITY OF (270772)", 1 ," $80,000 ", $471 , $797 
MINNESOTA,MARSHALL COUNTY,"ARGYLE, CITY OF (270268)", 1 ," $280,000 ", $743 , $893 
MINNESOTA,MARSHALL COUNTY,MARSHALL COUNTY* (270638), 22 ," $3,116,000 "," $27,824 "," $33,421 "
MINNESOTA,MARSHALL COUNTY,"NEWFOLDEN, CITY OF (270271)", 4 ," $655,000 "," $3,023 "," $3,633 "
MINNESOTA,MARSHALL COUNTY,"STEPHEN, CITY OF (270273)", 3 ," $860,000 "," $3,021 "," $3,615 "
MINNESOTA,MARSHALL COUNTY,"WARREN, CITY OF (270274)", 1 ," $42,000 ", $380 , $465 
MINNESOTA,MARTIN COUNTY,"FAIRMONT, CITY OF (270276)", 1 ," $51,000 ", $312 , $385 
MINNESOTA,MCLEOD COUNTY,"BROWNTON, CITY OF (270262)", 2 ," $459,000 "," $1,627 "," $1,953 "
MINNESOTA,MCLEOD COUNTY,"GLENCOE, CITY OF (270263)", 14 ," $3,420,000 "," $16,929 "," $20,659 "
MINNESOTA,MCLEOD COUNTY,"HUTCHINSON, CITY OF (270264)", 5 ," $1,478,000 "," $4,990 "," $6,196 "
MINNESOTA,MCLEOD COUNTY,"LESTER PRAIRIE, CITY OF (270265)", 3 ," $715,000 "," $2,809 "," $3,590 "
MINNESOTA,MCLEOD COUNTY,MCLEOD COUNTY * (270616), 9 ," $2,929,000 "," $8,487 "," $10,615 "
MINNESOTA,MCLEOD COUNTY,"SILVER LAKE, CITY OF (270662)", 1 ," $331,000 ", $693 , $834 
MINNESOTA,MCLEOD COUNTY,"WINSTED, CITY OF (270614)", 6 ," $1,615,000 "," $4,881 "," $6,085 "
MINNESOTA,MEEKER COUNTY,"LITCHFIELD, CITY OF (270285)", 3 ," $1,160,000 "," $3,693 "," $4,858 "
MINNESOTA,MEEKER COUNTY,MEEKER COUNTY * (270280), 26 ," $7,173,000 "," $28,349 "," $35,682 "
MINNESOTA,MILLE LACS COUNTY,"GREENBUSH, TOWNSHIP OF (270949)", 2 ," $518,000 "," $1,901 "," $2,276 "
MINNESOTA,MILLE LACS COUNTY,"ISLE, CITY OF (270288)", 2 ," $400,000 "," $1,975 "," $2,813 "
MINNESOTA,MILLE LACS COUNTY,"MILACA, CITY OF (270289)", 2 ," $464,000 "," $1,526 "," $1,834 "
MINNESOTA,MILLE LACS COUNTY,MILLE LACS COUNTY * (270624), 49 ," $12,924,000 "," $41,741 "," $54,336 "
MINNESOTA,MILLE LACS COUNTY,"ONAMIA, CITY OF (270290)", 1 ," $280,000 "," $1,100 "," $1,540 "
MINNESOTA,MILLE LACS COUNTY,"PRINCETON, CITY OF (270292)", 1 ," $350,000 ", $732 , $880 
MINNESOTA,MILLE LACS COUNTY,"PRINCETON, TOWNSHIP OF (270948)", 2 ," $262,000 "," $1,281 "," $1,544 "
MINNESOTA,MILLE LACS COUNTY,"WAHKON, CITY OF (270784)", 4 ," $932,000 "," $4,062 "," $5,085 "
MINNESOTA,MORRISON COUNTY,"LITTLE FALLS, CITY OF (270299)", 8 ," $1,795,000 "," $5,511 "," $7,084 "
MINNESOTA,MORRISON COUNTY,MORRISON COUNTY * (270617), 44 ," $10,237,000 "," $37,872 "," $49,241 "
MINNESOTA,MORRISON COUNTY,"MOTLEY, CITY OF (270300)", 1 ," $149,000 "," $1,493 "," $1,778 "
MINNESOTA,MORRISON COUNTY,"RANDALL, CITY OF (270302)", 10 ," $1,906,000 "," $18,014 "," $22,321 "
MINNESOTA,MORRISON COUNTY,"ROYALTON, CITY OF (270303)", 2 ," $470,000 "," $1,439 "," $1,731 "
MINNESOTA,MORRISON COUNTY,"SOBIESKI, CITY OF (270304)", 1 ," $303,000 ", $578 , $699 
MINNESOTA,MORRISON COUNTY,"UPSALA, CITY OF (270306)", 1 ," $155,000 "," $1,708 "," $2,257 "
MINNESOTA,MOWER COUNTY,"ADAMS, CITY OF (270308)", 1 ," $350,000 ", $838 ," $1,005 "
MINNESOTA,MOWER COUNTY,"AUSTIN, CITY OF (275228)", 57 ," $13,656,000 "," $70,625 "," $86,754 "
MINNESOTA,MOWER COUNTY,"GRAND MEADOW, CITY OF (270934)", 2 ," $630,000 "," $1,474 "," $1,997 "
MINNESOTA,MOWER COUNTY,"LYLE, CITY OF (270935)", 1 ," $350,000 ", $860 ," $1,031 "
MINNESOTA,MOWER COUNTY,MOWER COUNTY * (270307), 24 ," $5,783,000 "," $24,104 "," $29,066 "
MINNESOTA,MOWER COUNTY,"WALTHAM, CITY OF (270311)", 1 ," $205,000 "," $1,000 "," $1,422 "
MINNESOTA,MURRAY COUNTY,MURRAY COUNTY * (270645), 33 ," $7,985,000 "," $35,416 "," $46,389 "
MINNESOTA,NICOLLET COUNTY,NICOLLET COUNTY * (270625), 8 ," $2,290,000 "," $7,275 "," $8,718 "
MINNESOTA,NICOLLET COUNTY,"NORTH MANKATO, CITY OF (275245)", 27 ," $7,682,000 "," $22,549 "," $28,858 "
MINNESOTA,NICOLLET COUNTY,"SAINT PETER, CITY OF (270317)", 9 ," $2,672,000 "," $11,094 "," $13,691 "
MINNESOTA,NOBLES COUNTY,"ADRIAN, CITY OF (270318)", 1 ," $34,000 ", $370 , $678 
MINNESOTA,NOBLES COUNTY,"WORTHINGTON, CITY OF (270321)", 23 ," $3,039,000 "," $13,119 "," $17,434 "
MINNESOTA,NORMAN COUNTY,"ADA, CITY OF (270323)", 6 ," $2,871,000 "," $5,604 "," $8,062 "
MINNESOTA,NORMAN COUNTY,"HALSTAD, CITY OF (270324)", 4 ," $1,364,000 "," $1,980 "," $2,627 "
MINNESOTA,NORMAN COUNTY,"HENDRUM, CITY OF (270325)", 1 ," $350,000 ", $918 ," $1,100 "
MINNESOTA,NORMAN COUNTY,NORMAN COUNTY* (270322), 33 ," $7,297,000 "," $26,945 "," $33,462 "
MINNESOTA,NORMAN COUNTY,"PERLEY, CITY OF (270326)", 13 ," $1,844,000 "," $4,788 "," $6,089 "
MINNESOTA,OLMSTED COUNTY,"BYRON, CITY OF (270751)", 4 ," $1,851,000 "," $2,230 "," $3,148 "
MINNESOTA,OLMSTED COUNTY,"DOVER, CITY OF (270566)", 3 ," $585,000 "," $2,963 "," $3,770 "
MINNESOTA,OLMSTED COUNTY,"EYOTA, CITY OF (270329)", 7 ," $1,497,000 "," $4,053 "," $5,574 "
MINNESOTA,OLMSTED COUNTY,OLMSTED COUNTY * (270626), 27 ," $6,898,000 "," $35,741 "," $42,844 "
MINNESOTA,OLMSTED COUNTY,"ORONOCO, CITY OF (270330)", 8 ," $1,987,000 "," $7,134 "," $8,552 "
MINNESOTA,OLMSTED COUNTY,"PINE ISLAND, CITY OF (270145)", 12 ," $2,977,000 "," $8,738 "," $10,509 "
MINNESOTA,OLMSTED COUNTY,"ROCHESTER, CITY OF (275246)", 133 ," $40,185,000 "," $118,793 "," $147,698 "
MINNESOTA,OTTER TAIL COUNTY,"FERGUS FALLS, CITY OF (270337)", 1 ," $350,000 ", $507 , $615 
MINNESOTA,OTTER TAIL COUNTY,OTTER TAIL COUNTY * (270339), 8 ," $2,251,000 "," $5,124 "," $7,079 "
MINNESOTA,PENNINGTON COUNTY,PENNINGTON COUNTY * (270651), 6 ," $1,536,000 "," $4,927 "," $6,364 "
MINNESOTA,PENNINGTON COUNTY,"THIEF RIVER FALLS, CITY OF (270344)", 4 ," $797,000 "," $3,403 "," $4,081 "
MINNESOTA,PINE COUNTY,"PINE CITY, CITY OF (270348)", 16 ," $858,000 "," $6,330 "," $7,885 "
MINNESOTA,PINE COUNTY,PINE COUNTY * (270704), 90 ," $20,495,000 "," $95,094 "," $119,998 "
MINNESOTA,PINE COUNTY,"PINE LAKE, TOWNSHIP OF (270917)", 5 ," $848,000 "," $3,955 "," $5,200 "
MINNESOTA,PINE COUNTY,"RUTLEDGE, CITY OF (270350)", 6 ," $1,361,000 "," $7,744 "," $10,136 "
MINNESOTA,PINE COUNTY,"SANDSTONE, CITY OF (270351)", 2 ," $332,000 "," $1,647 "," $2,201 "
MINNESOTA,PINE COUNTY,"STURGEON LAKE, CITY OF (270352)", 4 ," $980,000 "," $3,109 "," $4,184 "
MINNESOTA,PINE COUNTY,"WILLOW RIVER, CITY OF (270353)", 2 ," $532,000 "," $1,940 "," $2,322 "
MINNESOTA,PIPESTONE COUNTY,"PIPESTONE, CITY OF (270359)", 8 ," $1,821,000 "," $4,566 "," $5,970 "
MINNESOTA,PIPESTONE COUNTY,PIPESTONE COUNTY* (270627), 3 ," $454,000 "," $3,171 "," $3,792 "
MINNESOTA,POLK COUNTY,"BELTRAMI, CITY OF (270362)", 3 ," $430,000 "," $2,800 "," $3,579 "
MINNESOTA,POLK COUNTY,"CROOKSTON, CITY OF (270364)", 9 ," $2,555,000 "," $8,928 "," $11,360 "
MINNESOTA,POLK COUNTY,"EAST GRAND FORKS, CITY OF (275236)", 52 ," $20,735,000 "," $54,507 "," $67,203 "
MINNESOTA,POLK COUNTY,"MENTOR, CITY OF (270367)", 1 ," $35,000 ", $270 , $560 
MINNESOTA,POLK COUNTY,POLK COUNTY * (270503), 72 ," $13,399,000 "," $85,450 "," $102,923 "
MINNESOTA,POPE COUNTY,"GLENWOOD, CITY OF (270370)", 1 ," $21,000 ", $111 , $148 
MINNESOTA,POPE COUNTY,POPE COUNTY* (270368), 2 ," $592,000 "," $1,430 "," $1,945 "
MINNESOTA,RAMSEY COUNTY,"ARDEN HILLS, CITY OF (270375)", 9 ," $2,401,000 "," $5,423 "," $6,997 "
MINNESOTA,RAMSEY COUNTY,"FALCON HEIGHTS, CITY OF (275299)", 6 ," $2,022,000 "," $3,506 "," $4,236 "
MINNESOTA,RAMSEY COUNTY,"LAUDERDALE, CITY OF (270376)", 2 ," $700,000 "," $1,690 "," $2,027 "
MINNESOTA,RAMSEY COUNTY,"LITTLE CANADA, CITY OF (270377)", 9 ," $2,370,000 "," $7,888 "," $9,681 "
MINNESOTA,RAMSEY COUNTY,"MAPLEWOOD, CITY OF (270378)", 17 ," $4,821,000 "," $10,041 "," $12,804 "
MINNESOTA,RAMSEY COUNTY,"MOUNDS VIEW, CITY OF (270379)", 7 ," $1,379,000 "," $5,596 "," $6,719 "
MINNESOTA,RAMSEY COUNTY,"NEW BRIGHTON, CITY OF (270380)", 21 ," $5,910,000 "," $22,841 "," $27,975 "
MINNESOTA,RAMSEY COUNTY,"NORTH ST. PAUL, CITY OF (270382)", 3 ," $676,000 "," $1,865 "," $2,250 "
MINNESOTA,RAMSEY COUNTY,"ROSEVILLE, CITY OF (270599)", 25 ," $6,966,000 "," $12,765 "," $16,128 "
MINNESOTA,RAMSEY COUNTY,"SHOREVIEW, CITY OF (270384)", 16 ," $4,567,000 "," $10,494 "," $12,647 "
MINNESOTA,RAMSEY COUNTY,"ST. ANTHONY, CITY OF (270716)", 1 ," $300,000 ", $398 , $486 
MINNESOTA,RAMSEY COUNTY,"ST. PAUL, CITY OF (275248)", 335 ," $56,840,000 "," $135,429 "," $169,812 "
MINNESOTA,RAMSEY COUNTY,"VADNAIS HEIGHTS, CITY OF (270385)", 6 ," $1,823,000 "," $3,837 "," $4,851 "
MINNESOTA,RAMSEY COUNTY,"WHITE BEAR LAKE, CITY OF (270386)", 6 ," $1,735,000 "," $4,287 "," $5,157 "
MINNESOTA,RAMSEY COUNTY,"WHITE BEAR,TOWNSHIP OF (270688)", 9 ," $2,709,000 "," $7,309 "," $8,998 "
MINNESOTA,REDWOOD COUNTY,REDWOOD COUNTY * (270644), 3 ," $808,000 "," $2,360 "," $3,060 "
MINNESOTA,REDWOOD COUNTY,"REDWOOD FALLS, CITY OF (270393)", 3 ," $776,000 "," $2,546 "," $3,279 "
MINNESOTA,RENVILLE COUNTY,"MORTON, CITY OF (270399)", 2 ," $926,000 "," $5,648 "," $7,148 "
MINNESOTA,RENVILLE COUNTY,"OLIVIA, CITY OF (270400)", 2 ," $700,000 "," $1,368 "," $1,648 "
MINNESOTA,RENVILLE COUNTY,RENVILLE COUNTY* (270634), 1 ," $350,000 ", $385 , $471 
MINNESOTA,RICE COUNTY,"BRIDGEWATER, TOWNSHIP OF (270920)", 1 ," $76,000 ", $464 , $564 
MINNESOTA,RICE COUNTY,"DUNDAS, CITY OF (270403)", 1 ," $350,000 ", $710 , $854 
MINNESOTA,RICE COUNTY,"FARIBAULT, CITY OF (270404)", 23 ," $5,980,000 "," $37,621 "," $47,923 "
MINNESOTA,RICE COUNTY,"MORRISTOWN, CITY OF (270405)", 1 ," $183,000 "," $1,286 "," $1,534 "
MINNESOTA,RICE COUNTY,"NORTHFIELD, CITY OF (270406)", 30 ," $13,256,000 "," $69,292 "," $86,535 "
MINNESOTA,RICE COUNTY,RICE COUNTY * (270646), 29 ," $6,449,000 "," $32,196 "," $39,818 "
MINNESOTA,ROCK COUNTY,"LUVERNE, CITY OF (270411)", 8 ," $768,000 "," $6,769 "," $8,796 "
MINNESOTA,ROCK COUNTY,ROCK COUNTY * (270642), 7 ," $1,233,000 "," $5,135 "," $6,400 "
MINNESOTA,ROSEAU COUNTY,"GREENBUSH, CITY OF (270413)", 3 ," $1,462,000 "," $3,447 "," $4,342 "
MINNESOTA,ROSEAU COUNTY,"ROSEAU, CITY OF (270414)", 7 ," $1,600,000 "," $4,225 "," $5,327 "
MINNESOTA,ROSEAU COUNTY,ROSEAU COUNTY * (270633), 38 ," $5,843,000 "," $23,207 "," $30,943 "
MINNESOTA,ROSEAU COUNTY,"WARROAD, CITY OF (270415)", 3 ," $625,000 "," $1,994 "," $2,403 "
MINNESOTA,SCOTT COUNTY,"BELLE PLAINE, CITY OF (270429)", 1 ," $350,000 ", $420 , $512 
MINNESOTA,SCOTT COUNTY,"JORDAN, CITY OF (270430)", 35 ," $7,195,000 "," $57,204 "," $69,431 "
MINNESOTA,SCOTT COUNTY,"PRIOR LAKE, CITY OF (270432)", 38 ," $11,167,000 "," $33,592 "," $41,391 "
MINNESOTA,SCOTT COUNTY,"SAVAGE, CITY OF (270433)", 41 ," $17,002,000 "," $39,883 "," $52,916 "
MINNESOTA,SCOTT COUNTY,SCOTT COUNTY* (270428), 29 ," $8,359,000 "," $19,688 "," $24,158 "
MINNESOTA,SCOTT COUNTY,"SHAKOPEE, CITY OF (270434)", 13 ," $4,042,000 "," $8,563 "," $11,445 "
MINNESOTA,SHERBURNE COUNTY,"BECKER, TOWNSHIP OF (270928)", 6 ," $1,583,000 "," $5,118 "," $6,365 "
MINNESOTA,SHERBURNE COUNTY,"BIG LAKE, CITY OF (270663)", 6 ," $1,699,000 "," $6,203 "," $7,644 "
MINNESOTA,SHERBURNE COUNTY,"CLEAR LAKE, CITY OF (270664)", 1 ," $150,000 ", $457 , $556 
MINNESOTA,SHERBURNE COUNTY,"ELK RIVER, CITY OF (270436)", 14 ," $3,343,000 "," $13,260 "," $15,879 "
MINNESOTA,SHERBURNE COUNTY,"PRINCETON, CITY OF (270292)", 5 ," $1,571,000 "," $3,554 "," $4,502 "
MINNESOTA,SHERBURNE COUNTY,SHERBURNE COUNTY * (270435), 82 ," $21,011,000 "," $84,359 "," $105,172 "
MINNESOTA,SHERBURNE COUNTY,"ST. CLOUD, CITY OF (270456)", 1 ," $280,000 ", $779 , $936 
MINNESOTA,SHERBURNE COUNTY,"ZIMMERMAN, CITY OF (270756)", 13 ," $3,580,000 "," $8,333 "," $10,947 "
MINNESOTA,SIBLEY COUNTY,"HENDERSON, CITY OF (270440)", 8 ," $2,303,000 "," $7,297 "," $9,194 "
MINNESOTA,SIBLEY COUNTY,"NEW AUBURN, CITY OF (270770)", 1 ," $45,000 ", $276 , $342 
MINNESOTA,SIBLEY COUNTY,SIBLEY COUNTY * (270620), 1 ," $353,000 "," $1,723 "," $2,275 "
MINNESOTA,STEARNS COUNTY,"AVON, CITY OF (270443)", 1 ," $350,000 "," $1,081 "," $1,292 "
